date	numbers	moneyball
Friday, March 30, 2012	[2, 4, 23, 38, 46]	23
Tuesday, March 27, 2012	[9, 19, 34, 44, 51]	24
Friday, March 23, 2012	[6, 17, 19, 20, 21]	20
Tuesday, March 20, 2012	[1, 4, 6, 11, 14]	30
Friday, March 16, 2012	[28, 29, 43, 51, 53]	07
Tuesday, March 13, 2012	[2, 8, 30, 36, 48]	31
Friday, March 9, 2012	[9, 10, 27, 36, 42]	11
Tuesday, March 6, 2012	[20, 24, 31, 33, 36]	44
Friday, March 2, 2012	[16, 29, 48, 52, 54]	05
Tuesday, February 28, 2012	[6, 15, 29, 39, 51]	36
Friday, February 24, 2012	[1, 16, 18, 25, 27]	03
Tuesday, February 21, 2012	[9, 30, 39, 42, 47]	37
Friday, February 17, 2012	[16, 25, 28, 32, 40]	03
Tuesday, February 14, 2012	[3, 5, 10, 26, 27]	27
Friday, February 10, 2012	[3, 4, 18, 29, 50]	20
Tuesday, February 7, 2012	[17, 23, 30, 37, 45]	04
Friday, February 3, 2012	[7, 19, 21, 49, 53]	35
Tuesday, January 31, 2012	[9, 17, 18, 28, 43]	09
Friday, January 27, 2012	[3, 5, 30, 36, 48]	23
Tuesday, January 24, 2012	[10, 22, 24, 36, 49]	33
Friday, January 20, 2012	[1, 9, 28, 38, 47]	08
Tuesday, January 17, 2012	[3, 15, 31, 36, 53]	27
Friday, January 13, 2012	[10, 27, 28, 37, 51]	19
Tuesday, January 10, 2012	[4, 10, 16, 38, 48]	34
Friday, January 6, 2012	[9, 17, 28, 34, 48]	46
Tuesday, January 3, 2012	[2, 3, 15, 22, 36]	23
Friday, December 30, 2011	[4, 24, 45, 46, 52]	01
Tuesday, December 27, 2011	[23, 32, 33, 39, 43]	08
Friday, December 23, 2011	[3, 5, 8, 18, 29]	14
Tuesday, December 20, 2011	[20, 24, 27, 45, 51]	31
Friday, December 16, 2011	[2, 4, 26, 36, 39]	27
Tuesday, December 13, 2011	[5, 6, 22, 26, 41]	06
Friday, December 9, 2011	[4, 12, 29, 49, 51]	44
Tuesday, December 6, 2011	[7, 21, 29, 35, 49]	39
Friday, December 2, 2011	[24, 30, 48, 51, 56]	45
Tuesday, November 29, 2011	[17, 29, 43, 48, 52]	36
Friday, November 25, 2011	[22, 28, 42, 49, 54]	43
Tuesday, November 22, 2011	[4, 16, 23, 33, 48]	38
Friday, November 18, 2011	[4, 13, 33, 39, 55]	03
Tuesday, November 15, 2011	[3, 6, 24, 30, 33]	21
Friday, November 11, 2011	[2, 16, 22, 29, 50]	27
Tuesday, November 8, 2011	[5, 31, 45, 47, 54]	04
Friday, November 4, 2011	[26, 30, 32, 33, 44]	01
Tuesday, November 1, 2011	[27, 31, 39, 40, 46]	36
Friday, October 28, 2011	[13, 31, 49, 52, 56]	41
Tuesday, October 25, 2011	[13, 33, 40, 44, 46]	08
Friday, October 21, 2011	[6, 21, 35, 37, 38]	17
Tuesday, October 18, 2011	[24, 25, 45, 47, 53]	42
Friday, October 14, 2011	[13, 35, 42, 45, 54]	26
Tuesday, October 11, 2011	[25, 34, 38, 44, 56]	27
Friday, October 7, 2011	[5, 15, 19, 23, 38]	19
Tuesday, October 4, 2011	[3, 26, 40, 45, 52]	11
Friday, September 30, 2011	[3, 19, 21, 44, 45]	29
Tuesday, September 27, 2011	[2, 20, 28, 36, 45]	37
Friday, September 23, 2011	[21, 27, 32, 40, 52]	36
Tuesday, September 20, 2011	[6, 29, 38, 50, 51]	39
Friday, September 16, 2011	[6, 23, 41, 45, 56]	24
Tuesday, September 13, 2011	[22, 31, 43, 48, 56]	45
Friday, September 9, 2011	[7, 12, 19, 23, 31]	45
Tuesday, September 6, 2011	[1, 36, 38, 42, 49]	19
Friday, September 2, 2011	[25, 44, 48, 49, 55]	20
Tuesday, August 30, 2011	[2, 22, 25, 28, 50]	18
Friday, August 26, 2011	[2, 3, 27, 30, 47]	36
Tuesday, August 23, 2011	[11, 21, 44, 48, 49]	23
Friday, August 19, 2011	[5, 15, 53, 54, 56]	22
Tuesday, August 16, 2011	[4, 38, 41, 42, 43]	44
Friday, August 12, 2011	[9, 43, 51, 54, 55]	13
Tuesday, August 9, 2011	[11, 19, 39, 45, 54]	15
Friday, August 5, 2011	[6, 24, 28, 33, 42]	19
Tuesday, August 2, 2011	[14, 17, 19, 20, 32]	28
Friday, July 29, 2011	[8, 10, 22, 47, 48]	35
Tuesday, July 26, 2011	[20, 25, 35, 52, 55]	10
Friday, July 22, 2011	[23, 31, 32, 39, 56]	38
Tuesday, July 19, 2011	[2, 9, 10, 16, 35]	40
Friday, July 15, 2011	[16, 29, 30, 46, 56]	06
Tuesday, July 12, 2011	[3, 9, 11, 44, 49]	09
Friday, July 8, 2011	[1, 2, 22, 37, 50]	45
Tuesday, July 5, 2011	[1, 10, 13, 18, 46]	19
Friday, July 1, 2011	[12, 17, 30, 35, 47]	26
Tuesday, June 28, 2011	[12, 17, 27, 47, 48]	33
Friday, June 24, 2011	[10, 14, 40, 49, 51]	04
Tuesday, June 21, 2011	[11, 24, 25, 31, 46]	17
Friday, June 17, 2011	[12, 29, 46, 47, 51]	24
Tuesday, June 14, 2011	[9, 10, 20, 51, 53]	24
Friday, June 10, 2011	[18, 21, 27, 37, 38]	07
Tuesday, June 7, 2011	[29, 32, 35, 47, 52]	13
Friday, June 3, 2011	[20, 23, 41, 49, 53]	31
Tuesday, May 31, 2011	[28, 30, 31, 37, 55]	13
Friday, May 27, 2011	[5, 7, 14, 28, 56]	10
Tuesday, May 24, 2011	[9, 12, 21, 42, 43]	42
Friday, May 20, 2011	[10, 17, 19, 45, 48]	30
Tuesday, May 17, 2011	[1, 2, 17, 25, 48]	45
Friday, May 13, 2011	[3, 33, 39, 47, 53]	09
Tuesday, May 10, 2011	[11, 16, 34, 40, 51]	34
Friday, May 6, 2011	[6, 18, 26, 37, 41]	09
Tuesday, May 3, 2011	[1, 16, 29, 36, 50]	16
Friday, April 29, 2011	[9, 10, 11, 33, 51]	29
Tuesday, April 26, 2011	[19, 29, 32, 38, 55]	15
Friday, April 22, 2011	[3, 18, 46, 51, 53]	17
Tuesday, April 19, 2011	[20, 24, 32, 45, 51]	43
Friday, April 15, 2011	[22, 23, 33, 39, 48]	29
Tuesday, April 12, 2011	[10, 23, 39, 41, 45]	15
Friday, April 8, 2011	[6, 40, 45, 50, 56]	11
Tuesday, April 5, 2011	[1, 19, 20, 31, 36]	09
Friday, April 1, 2011	[13, 14, 35, 36, 53]	19
Tuesday, March 29, 2011	[6, 15, 23, 34, 38]	43
Friday, March 25, 2011	[22, 24, 31, 52, 54]	04
Tuesday, March 22, 2011	[1, 14, 35, 50, 53]	43
Friday, March 18, 2011	[14, 33, 34, 54, 56]	37
Tuesday, March 15, 2011	[10, 11, 12, 28, 43]	45
Friday, March 11, 2011	[14, 19, 21, 42, 45]	06
Tuesday, March 8, 2011	[3, 17, 19, 41, 55]	24
Friday, March 4, 2011	[8, 10, 15, 23, 41]	07
Tuesday, March 1, 2011	[1, 12, 19, 20, 47]	25
Friday, February 25, 2011	[4, 5, 17, 19, 50]	07
Tuesday, February 22, 2011	[15, 22, 23, 48, 55]	31
Friday, February 18, 2011	[5, 6, 7, 30, 45]	42
Tuesday, February 15, 2011	[17, 18, 24, 35, 39]	18
Friday, February 11, 2011	[8, 9, 17, 32, 34]	13
Tuesday, February 8, 2011	[25, 35, 36, 47, 48]	18
Friday, February 4, 2011	[6, 20, 29, 48, 55]	06
Tuesday, February 1, 2011	[16, 22, 23, 26, 35]	31
